0.00000000d0 0.00000000d0
0.00080000d0 0.00000000d0
0.00160000d0 0.00000000d0
0.00240000d0 0.00000000d0
0.00320000d0 0.00000000d0
0.00400000d0 0.00000000d0
0.00480000d0 0.00000000d0
0.00560000d0 0.00000000d0
0.00640000d0 0.00000000d0
0.00720000d0 0.00000000d0
0.00800000d0 0.00000000d0
0.00880000d0 0.00000000d0
0.00960000d0 0.00000000d0
0.01040000d0 0.00000000d0
0.01120000d0 0.00000000d0
0.01200000d0 0.00000000d0
0.01280000d0 0.00000000d0
0.01360000d0 0.00000000d0
0.01440000d0 0.00000000d0
0.01520000d0 0.00000000d0
0.01600000d0 0.00000000d0
0.01680000d0 0.00000000d0
0.01760000d0 0.00000000d0
0.01840000d0 0.00000000d0
0.01920000d0 0.00000000d0
0.02000000d0 0.00000000d0
0.02080000d0 0.00000000d0
0.02160000d0 0.00000000d0
0.02240000d0 0.00000000d0
0.02320000d0 0.00000000d0
0.02400000d0 0.00000000d0
0.02480000d0 0.00000000d0
0.02560000d0 0.00000000d0
0.02640000d0 0.00000000d0
0.02720000d0 0.00000000d0
0.02800000d0 0.00000000d0
0.02880000d0 0.00000000d0
0.02960000d0 0.00000000d0
0.03040000d0 0.00000000d0
0.03120000d0 0.00000000d0
0.03200000d0 0.00000000d0
0.03280000d0 0.00000000d0
0.03360000d0 0.00000000d0
0.03440000d0 0.00000000d0
0.03520000d0 0.00000000d0
0.03600000d0 0.00000000d0
0.03680000d0 0.00000000d0
0.03760000d0 0.00000000d0
0.03840000d0 0.00000000d0
0.03920000d0 0.00000000d0
0.04000000d0 0.00000000d0
0.04080000d0 0.00000000d0
0.04160000d0 0.00000000d0
0.04240000d0 0.00000000d0
0.04320000d0 0.00000000d0
0.04400000d0 0.00000000d0
0.04480000d0 0.00000000d0
0.04560000d0 0.00000000d0
0.04640000d0 0.00000000d0
0.04720000d0 0.00000000d0
0.04800000d0 0.00000000d0
0.04880000d0 0.00000000d0
0.04960000d0 0.00000000d0
0.05040000d0 0.00000000d0
0.05120000d0 0.00000000d0
0.05200000d0 0.00000000d0
0.05280000d0 0.00000000d0
0.05360000d0 0.00000000d0
